id,title,description,name,currency,isPublic,shouldSynchronize,price,taxPercent,total,stripeProductId,stripePriceId,createdAt,updatedAt,deletedAt,startPrice,startTotal,stripeStartPriceId,taxId,project,interval,intervalCount,productId,type
29,FranceVerif+ Montly Plus_4,FranceVerif+ Montly Plus_4,fvplus_apple_m_plus_4,EUR,t,f,24.99,0.00,24.99,,,2024-10-22 13:57:30.577875,2024-10-22 13:57:30.577875,,24.99,24.99,,3,franceverif,month,1,,main
30,FranceVerif+ Annually_1,FranceVerif+ Annually_1,fvplus_apple_sub_y_1,EUR,t,f,49.99,0.00,49.99,,,2024-10-22 13:57:30.577875,2024-10-22 13:57:30.577875,,49.99,49.99,,3,franceverif,year,1,,main
31,FranceVerif+ Annually_2,FranceVerif+ Annually_2,fvplus_apple_sub_y_2,EUR,t,f,59.99,0.00,59.99,,,2024-10-22 13:57:30.577875,2024-10-22 13:57:30.577875,,59.99,59.99,,3,franceverif,year,1,,main
32,FranceVerif+ Annually_3,FranceVerif+ Annually_3,fvplus_apple_sub_y_3,EUR,t,f,49.99,0.00,49.99,,,2024-10-22 13:57:30.577875,2024-10-22 13:57:30.577875,,49.99,49.99,,3,franceverif,year,1,,main
33,FranceVerif+ Annually_4,FranceVerif+ Annually_4,fvplus_apple_sub_y_4,EUR,t,f,59.99,0.00,59.99,,,2024-10-22 13:57:30.577875,2024-10-22 13:57:30.577875,,59.99,59.99,,3,franceverif,year,1,,main
34,FranceVerif+ Annually_5,FranceVerif+ Annually_5,fvplus_apple_sub_y_5,EUR,t,f,69.99,0.00,69.99,,,2024-10-22 13:57:30.577875,2024-10-22 13:57:30.577875,,69.99,69.99,,3,franceverif,year,1,,main
35,FranceVerif+ Annually_6,FranceVerif+ Annually_6,fvplus_apple_sub_y_6,EUR,t,f,119.99,0.00,119.99,,,2024-10-22 13:57:30.577875,2024-10-22 13:57:30.577875,,119.99,119.99,,3,franceverif,year,1,,main
36,FranceVerif+ Annually_7,FranceVerif+ Annually_7,fvplus_apple_sub_y_7,EUR,t,f,119.99,0.00,119.99,,,2024-10-22 13:57:30.577875,2024-10-22 13:57:30.577875,,119.99,119.99,,3,franceverif,year,1,,main
37,FranceVerif+ Annually Plus,FranceVerif+ Annually Plus,fvplus_apple_sub_y_plus,EUR,t,f,59.99,0.00,59.99,,,2024-10-22 13:57:30.577875,2024-10-22 13:57:30.577875,,59.99,59.99,,3,franceverif,year,1,,main
38,FranceVerif+ Annually Plus_2,FranceVerif+ Annually Plus_2,fvplus_apple_sub_y_plus_2,EUR,t,f,79.99,0.00,79.99,,,2024-10-22 13:57:30.577875,2024-10-22 13:57:30.577875,,79.99,79.99,,3,franceverif,year,1,,main
39,FranceVerif+ Annually Plus_3,FranceVerif+ Annually Plus_3,fvplus_apple_sub_y_plus_3,EUR,t,f,89.99,0.00,89.99,,,2024-10-22 13:57:30.577875,2024-10-22 13:57:30.577875,,89.99,89.99,,3,franceverif,year,1,,main
40,FranceVerif+ Annually Plus_4,FranceVerif+ Annually Plus_4,fvplus_apple_sub_y_plus_4,EUR,t,f,139.99,0.00,139.99,,,2024-10-22 13:57:30.577875,2024-10-22 13:57:30.577875,,139.99,139.99,,3,franceverif,year,1,,main
41,FranceVerif+ Annually Plus_5,FranceVerif+ Annually Plus_5,fvplus_apple_sub_y_plus_5,EUR,t,f,139.99,0.00,139.99,,,2024-10-22 13:57:30.577875,2024-10-22 13:57:30.577875,,139.99,139.99,,3,franceverif,year,1,,main
42,UP+ Subscription Apple Year,UP+ Subscription Apple Year,usa_protect_apple_main_year,USD,t,f,39.99,0.00,39.99,,,2024-12-02 12:42:50.838029,2024-12-02 12:42:50.838029,,39.99,39.99,,3,controlplus,year,1,,main
43,FranceVerif+ Montly Plus,FranceVerif+ Montly Plus,fvplus_android_test_m,EUR,t,f,8.33,20.00,9.99,,,2024-12-12 11:16:15.001138,2024-12-12 11:16:15.001138,,8.33,9.99,,3,franceverif,month,1,,main
44,CP+ Subscription monthly,CP+ Subscription Monthly Plan,upplus_monthly_old,USD,t,t,36.07,20.00,43.29,prod_RqNtvR9AUDWtjd,price_1Qwh7NGPQMseK89O7nXIb4sF,2024-12-24 14:13:16.816859,2025-05-27 10:25:08.965902,,36.07,43.29,price_1Qwh7NGPQMseK89O7nXIb4sF,4,controlplus,month,1,,main
45,CP+ Subscription,CP+ Subscription Plan,upplus_old,USD,t,t,432.90,20.00,519.48,prod_RqNtYEg6WgLEhO,price_1Qwh7GGPQMseK89ORWczOoVt,2024-12-24 14:13:16.973188,2025-05-27 10:25:08.972732,,432.90,519.48,price_1Qwh7GGPQMseK89ORWczOoVt,4,controlplus,year,1,,main
46,UP+ Subscription 2 years,UP+ Subscription 2 years Plan,upplus_2y_old,USD,t,t,200.00,20.00,240.00,prod_RqALtOSo1xwCTI,price_1QwU0SGPQMseK89OdqhNBIWT,2024-12-24 14:13:17.118269,2025-02-25 19:41:28.773949,,200.00,240.00,price_1QwU0SGPQMseK89OdqhNBIWT,4,controlplus,year,2,,main
47,CP+ Subscription weekly,CP+ Subscription Weekly Plan,upplus_weekly_old,USD,t,t,8.33,20.00,9.99,prod_Rq7R5EU2u9zSF1,price_1QwRCFGPQMseK89OHfPBqE4B,2024-12-24 14:13:17.259861,2025-05-27 10:25:08.991079,,8.33,9.99,price_1QwRCFGPQMseK89OHfPBqE4B,4,controlplus,week,1,,main
48,UP+ Subscription Apple Year,UP+ Subscription Apple Year,control_plus_apple_main_year,USD,t,f,39.99,0.00,39.99,,,2024-12-02 12:42:50.838029,2024-12-02 12:42:50.838029,,39.99,39.99,,3,controlplus,year,1,,main
49,CP+ Subscription monthly Apple,CP+ Subscription Monthly Plan Apple,control_plus_apple_month,USD,t,f,19.99,20.00,19.99,,,2025-01-09 16:57:23.024626,2025-12-03 13:42:54.771664,,19.99,19.99,,9,controlplus,month,1,,main
50,CP+ Subscription monthly,CP+ Subscription Monthly Plan,upplus_2_monthly_old,USD,t,t,8.33,20.00,9.99,prod_RqNtt1A5bRsGjT,price_1Qwh7KGPQMseK89OJJz6iC81,2025-01-20 09:07:24.46743,2025-05-27 10:25:08.978935,,8.33,9.99,price_1Qwh7KGPQMseK89OJJz6iC81,4,controlplus,month,1,,main
51,CP+ Subscription,CP+ Subscription Plan,upplus_2_old,USD,t,t,99.99,20.00,119.99,prod_RqNtt7iks4tUvG,price_1Qwh7MGPQMseK89O9BI1tFGg,2025-01-20 09:07:24.720623,2025-05-27 10:25:08.984883,,99.99,119.99,price_1Qwh7MGPQMseK89O9BI1tFGg,4,controlplus,year,1,,main
52,CP+ Subscription quarterly,CP+ Subscription Quarterly Plan,upplus_quarterly_old,USD,t,t,37.38,20.00,44.86,prod_Rq9NynP2j249pb,price_1QwT4PGPQMseK89OIKR2lR45,2025-02-07 10:29:20.03025,2025-05-27 10:25:09.002705,,37.38,44.86,price_1QwT4PGPQMseK89OIKR2lR45,4,controlplus,month,3,,main
53,CP+ Subscription half-year,CP+ Subscription Half-year Plan,upplus_halfyear_old,USD,t,t,75.74,20.00,90.89,prod_Rq9NTdRv3oZi5v,price_1QwT4QGPQMseK89OBNchzNOR,2025-02-07 10:29:20.191693,2025-05-27 10:25:09.009015,,75.74,90.89,price_1QwT4QGPQMseK89OBNchzNOR,4,controlplus,month,6,,main
55,Test,Test,fvplus_old,USD,t,t,126.23,20.00,151.48,prod_SCC9vvokrJ3YZ2,price_1RHnlKGPQMseK89OVenqzJMh,2025-04-15 09:14:14.941819,2025-04-25 15:01:58.81887,,126.23,151.48,price_1RHnlKGPQMseK89OVenqzJMh,4,controlplus,month,6,,main
63,Test Stripe-Dashboard,,test_stripe_dashboard_price_1QuUpYGtfooAUczLcLGEXWi4,EUR,f,f,14.48,0.00,14.48,prod_Ro73Ob0z9nhlJh,price_1QuUpYGtfooAUczLcLGEXWi4,2025-02-24 11:14:59.529798,2025-02-24 11:14:59.529798,,14.48,14.48,price_1QuUpYGtfooAUczLcLGEXWi4,,franceverif,month,1,,main
64,Test Stripe Dasboard Exclusive,,test_stripe_dasboard_exclusive_price_1QvzelGtfooAUczLd8KJy1SO,EUR,f,f,14.48,15.00,16.65,prod_RpeyrrNKvvF1a2,price_1QvzelGtfooAUczLd8KJy1SO,2025-02-24 11:17:39.534578,2025-02-24 11:17:39.534578,,14.48,16.65,price_1QvzelGtfooAUczLd8KJy1SO,7,franceverif,month,2,,main
65,Hello World,,hello_world_price_1Qw1BeGPQMseK89OQPMenF4S,USD,f,f,5.00,50.00,7.50,prod_RpgYYaFWaHl220,price_1Qw1BeGPQMseK89OQPMenF4S,2025-02-24 12:59:58.147455,2025-02-24 12:59:58.147455,,5.00,7.50,price_1Qw1BeGPQMseK89OQPMenF4S,8,controlplus,month,3,,main
66,Test Fransua,,test_fransua_price_1Qw211GtfooAUczLuzWGJlkJ,EUR,f,f,123.00,0.00,123.00,prod_RphPI1AKxGyDQ5,price_1Qw211GtfooAUczLuzWGJlkJ,2025-02-24 13:49:54.69849,2025-02-24 13:49:54.69849,,123.00,123.00,price_1Qw211GtfooAUczLuzWGJlkJ,,franceverif,year,1,,main
67,CP+ Subscription monthly,,cp+_subscription_monthly_price_1QwWocGPQMseK89Os6qVn8X9,USD,f,f,43.29,0.00,43.29,prod_RqDFEKiLmdgIL1,price_1QwWocGPQMseK89Os6qVn8X9,2025-02-27 12:47:47.139009,2025-02-27 12:47:47.139009,,43.29,43.29,price_1QwWocGPQMseK89Os6qVn8X9,,controlplus,month,1,,main
