id,description,name,promoCode,currency,isPublic,shouldSynchronize,amountDiscount,percentDiscount,stripeCouponId,stripePromoCodeId,createdAt,updatedAt,deletedAt,shouldStartTrial,duration,project
93,,AW99_UPPLUS_HALFYEAR_49_99_OLD,AW99,USD,t,t,150.48,99,BDcgNQo7,promo_1RWbJQGPQMseK89Ozezos9Zm,2025-06-05 10:45:02.963148,2025-06-05 10:46:21.054257,,t,forever,controlplus
94,,AW99_UPPLUS_MONTHLY_24_99,AW99,USD,t,t,23.99,99,IHpku3En,promo_1RWbOGQFjuwkEDFbKzqQJAwq,2025-06-05 10:50:43.184155,2025-12-03 13:43:01.091756,,t,forever,controlplus
95,,AW99_UPPLUS_QUARTERLY_39_99,AW99,USD,t,t,74.45,99,qS5cqcAw,promo_1RWbOHQFjuwkEDFbQEg9XRj3,2025-06-05 10:50:43.550427,2025-12-03 13:43:01.691095,,t,forever,controlplus
96,,AW99_UPPLUS_HALFYEAR_49_99,AW99,USD,t,t,150.48,99,3pSiEeLX,promo_1RWbOIQFjuwkEDFbaDHf59Kn,2025-06-05 10:50:43.896749,2025-12-03 13:43:01.876994,,t,forever,controlplus
97,,BASE_UPPLUS_MONTHLY,BASE,USD,t,t,28.30,,ily7Uv3u,promo_1RWbOKQFjuwkEDFbBd3oJwz4,2025-06-05 10:50:44.252881,2025-12-03 13:43:01.896101,,t,forever,controlplus
98,,BASE_UPPLUS,BASE,USD,t,t,349.49,,C8lhvX9p,promo_1RWbO4QFjuwkEDFbsWadAuVI,2025-06-05 10:50:44.614707,2025-12-03 13:43:02.091321,,t,forever,controlplus
99,,BASE_UPPLUS_2,BASE,USD,t,t,60.00,,yWwR5KSq,promo_1RWbO6QFjuwkEDFbnJhCkw72,2025-06-05 10:50:44.956451,2025-12-03 13:43:02.195899,,t,forever,controlplus
100,,BASE_UPPLUS_QUARTERLY,BASE,USD,t,t,9.87,,YYpy0pjS,promo_1RWbO7QFjuwkEDFbgFaaC8rr,2025-06-05 10:50:45.312134,2025-12-03 13:43:02.392283,,t,forever,controlplus
101,,BASE_UPPLUS_HALFYEAR,BASE,USD,t,t,40.90,,z5k5QMna,promo_1RWbO8QFjuwkEDFbuL2HUldA,2025-06-05 10:50:45.666453,2025-12-03 13:43:02.593011,,t,forever,controlplus
102,,BASE_UPPLUS_HALFYEAR_64_99,BASE,USD,t,t,55.36,,Jo7MKLVV,promo_1RWbO9QFjuwkEDFbbKr9D5vc,2025-06-05 10:50:46.073526,2025-12-03 13:43:02.791866,,t,forever,controlplus
103,,BASE_UPPLUS_QUARTERLY_49_99,BASE,USD,t,t,10.24,,vLaoXB2m,promo_1RWbOBQFjuwkEDFbUwoDPseJ,2025-06-05 10:50:46.427998,2025-12-03 13:43:02.993424,,t,forever,controlplus
104,,BASE_UPPLUS_QUARTERLY_39_99,BASE,USD,t,t,35.46,,lzzRD8Ro,promo_1RWbOCQFjuwkEDFbYW79uIpz,2025-06-05 10:50:46.803892,2025-12-03 13:43:03.291362,,t,forever,controlplus
105,,BASE_UPPLUS_HALFYEAR_49_99,BASE,USD,t,t,101.49,,0MofE9pw,promo_1RWbODQFjuwkEDFbRqoeu0xo,2025-06-05 10:50:47.174546,2025-12-03 13:43:03.472678,,t,forever,controlplus
106,,CPLUS60_UPPLUS_HALFYEAR,CPLUS60,USD,t,t,54.90,,TUwQEFVI,promo_1RWbOEQFjuwkEDFbawJYj68y,2025-06-05 10:50:47.602984,2025-12-03 13:43:03.576651,,t,forever,controlplus
109,,coupon_99.17,COUPON-99.17,USD,f,f,118.99,99,y6KayBN6,,2026-04-02 20:06:21.758996,2026-04-02 20:06:21.758996,,t,once,controlplus
110,,coupon_98.33,COUPON-98.33,USD,f,f,117.99,98,ulS278lC,,2026-04-03 13:13:50.734689,2026-04-03 13:13:50.734689,,t,once,controlplus
111,,coupon_90,COUPON-90,USD,f,f,4.50,90,NRNfZqJE,,2026-04-03 15:12:28.897167,2026-04-03 15:12:28.897167,,t,once,controlplus
